id,name
둘레길108-03,구름정원길 끝지점 0.2km 상단
둘레길109-01,태극기길 끝지점 0.1km 상단
둘레길110-01,백화사 ~ 북한산초등학교 구간 0.3km
둘레길111-01,효자길 입구(아치문)
둘레길111-02,효자비~밤골입구 구간 상단 0.4km
둘레길112-01,충의길입구 시발 0.7km
둘레길112-02,충의길입구 시발 1.4km
둘레길112-03,충의길입구 시발 1.9km
둘레길112-04,충의길입구 시발 2.15km
둘레길112-05,충의길입구 시발 2.8km
둘레길121-07,우이탐방지원센터 상단 700m
둘레길121-08,우이탐방지원센터 상단 200m
