id,name,lat,lon,elevation_m
북한01-06,청수동암문 하단 150m,37.63204872777778,126.97010115555555,591
북한01-07,문수봉,37.63226388333334,126.97232144444445,715
북한08-05,대성문,37.63328820555556,126.97704573333334,615
북한09-04,보국문,37.63597333055556,126.98285054722223,562
북한18-01,진달래공원지킴터 상단 100m,37.65393888333333,127.0006662,249
북한21-02,인수대피소,37.66160843055555,126.98499404722223,460
북한21-03,백운대피소,37.658282827777775,126.98196323611111,609
북한21-04,백운대,37.658205727777776,126.97842927222223,783
북한22-01,노적봉삼거리,37.653707177777775,126.97817951944445,658
북한22-02,용암문 100m 전,37.650774319444444,126.981822425,579
북한22-03,북한산대피소,37.64797670555556,126.98304363333334,564
북한22-04,동장대 하단 100m,37.64308206111111,126.98364302777777,587
북한22-05,대동문 하단 100m,37.64086426111111,126.985074075,546
북한23-1,송전탑,37.67026973611111,127.01202623055555,158
북한23-2,송전탑 상단 500m,37.67470651111111,127.01409706388888,251
북한23-3,원통사 삼거리,37.679298913888886,127.01209743333334,312
북한46-01,밤골공원지킴터 상단 500m,37.673465486111105,126.96369946944445,139
북한46-02,밤골공원지킴터 상단 1000m,37.67023953611111,126.96468273055555,180
북한46-03,밤골공원지킴터 상단 1500m,37.66523202222222,126.96915823333333,304
북한46-04,밤골공원지킴터 상단 2000m,37.663708138888886,126.97385241666667,401
북한46-05,호랑이굴하단,37.661421805555555,126.97672783333334,553
북한47-01,청담골 상단 300m,37.666884330555554,126.96044535,166
북한47-02,청담골 상단 800m,37.66351483611111,126.96542991361112,237
북한47-03,북문,37.658532780555554,126.96742158611112,415
북한48-01,시구문공원지킴터,37.6590385,126.9534420388889,106
북한48-02,원효암,37.65944536944444,126.960876325,379
북한48-03,원효봉,37.65765114444444,126.96456308611111,508
북한49-01,북한산성탐방지원센터 상단 400m,37.65572339444444,126.95639016666667,120
북한49-02,서문안,37.65340085277778,126.96120636111111,173
북한50-01,등운각 상단 500m,37.654639213888885,126.96839851388889,310
북한50-02,대동사 상단 200m,37.65660625833333,126.97588624166667,522
북한50-03,위문 하단 100m,37.657404002777774,126.978743175,646
북한51-01,등운각 상단 400m,37.649434075,126.9679137,241
북한51-02,용학사 하단 100m,37.64825228055555,126.97286119166667,301
북한51-03,태고사 우측,37.64505944444444,126.97699685555556,382
북한51-04,행궁지 삼거리,37.64199318888889,126.97933620555555,425
북한51-05,보국문 하단 400m,37.638744275,126.98057623055556,459
북한51-06,대성암 삼거리,37.63524713611111,126.97659293611112,545
북한52-01,국녕사,37.646653852777774,126.96229895833334,390
북한53-01,부왕사지  500m,37.64088899722222,126.96882500555556,459
북한53-02,부왕사지  1.4km,37.6379997,126.96372116944444,335
북한54-01,중흥사지 상단 300m,37.64791865833333,126.98191788055556,529
북한55-01,행궁지 상단 400m,37.63994823611111,126.97658385277778,522
북한55-02,청수동암문 하단 300m,37.63568101944444,126.972501225,694
북한56-02,용암사입구 상단 400m,37.648928419444445,126.95909018611111,473
북한56-03,가사당암문,37.646213591666665,126.96092605,447
북한56-04,용출봉,37.64405493333333,126.96169910277779,552
북한56-05,용혈봉,37.64226123611111,126.9654539,582
북한56-06,부왕동 암문,37.64023243611111,126.96726360277778,518
북한56-07,나한봉,37.63508504722222,126.96965847222222,657
북한57-03,가사당암문 하단 100m,37.64537893055555,126.96054313333333,406
북한58-05,문수봉 하단 1000m,37.63198542777778,126.96560779166667,436
북한58-06,문수봉 하단 600m,37.63137727777778,126.96850811388889,536
북한62-02,진관공원지킴터 상단 1600m,37.62836848,126.9463527,317
북한68-1,사기막공원지킴터 상단 1000m,37.674021624999995,126.96383656111111,157
북한68-2,사기막공원지킴터 상단 1500m,37.67031913611111,126.96633757777778,247
북한68-3,사기막공원지킴터 상단 2000m,37.668134466666665,126.96951330833333,348
북한68-4,사기막공원지킴터 상단 2500m,37.66578648611111,126.97316072777778,482
북한68-5,사기막공원지킴터 상단 3000m,37.66342051944444,126.97598903333333,574
북한69-1,용덕사 일원,37.6714228,127.0006839,211
북한69-2,용덕사 상단 500m,37.6709453,126.9954133,388
북한69-3,육모정고개쉼터 상단300m,37.6683977,126.9935641,488
북한69-4,육모정고개쉼터 상단800m,37.6640719,126.9904487,554
둘레길103-03,흰구름길입구 시발 1.8km,37.63380305,127.00829916666666,103
둘레길105-05,명상길입구 시발 2.2km,37.613251641666665,126.98465954166667,246
둘레길108-02,힐스테이트 3차아파트 뒷편,37.61864329,126.93704061,100
둘레길109-01,태극기길 끝지점 0.1km 상단,37.64612276,126.93956025,43
둘레길111-01,효자길 입구(아치문),37.66222107,126.95200042,65
둘레길111-02,효자비~밤골입구 구간 상단 0.4km,37.67394363,126.958133,137
둘레길112-01,충의길입구 시발 0.7km,37.681147161111106,126.96192373611112,127
둘레길112-02,충의길입구 시발 1.4km,37.683403827777774,126.96352734722223,154
둘레길112-03,충의길입구 시발 1.9km,37.68609813333333,126.96242958333333,98
둘레길112-04,충의길입구 시발 2.15km,37.68780192222222,126.963165425,134
둘레길112-05,충의길입구 시발 2.8km,37.69029019166666,126.96801798611111,171
둘레길121-08,우이탐방지원센터 상단 200m,37.67882094444444,127.00250278611111,224
